sample_name	filename	sample_id	sample_type	ATTRIBUTE_species	ATTRIBUTE_genus	ATTRIBUTE_localisation
230605_ED_dbgi_001142_01_03_nr8cent.mzML	230605_ED_dbgi_001142_01_03_nr8cent.mzML	dbgi_001142	sample	Clematis koreana	Clematis	jbn
230605_ED_dbgi_001144_01_03_nr8cent.mzML	230605_ED_dbgi_001144_01_03_nr8cent.mzML	dbgi_001144	sample	Clematis terniflora	Clematis	jbn
230605_EDdbgi_001146_01_03_nr8cent.mzML	230605_EDdbgi_001146_01_03_nr8cent.mzML	dbgi_001146	sample	Clematis tangutica	Clematis	jbn
230605_ED_dbgi_001153_01_03_nr8cent.mzML	230605_ED_dbgi_001153_01_03_nr8cent.mzML	dbgi_001153	sample	Clematis chinensis	Clematis	jbn
230605_ED_dbgi_001152_01_03_nr8cent.mzML	230605_ED_dbgi_001152_01_03_nr8cent.mzML	dbgi_001152	sample	Clematis flammula	Clematis	jbn
230605_ED_dbgi_001161_01_03_nr8cent.mzML	230605_ED_dbgi_001161_01_03_nr8cent.mzML	dbgi_001161	sample	Clematis vitalba	Clematis	jbn
230605_ED_dbgi_001162_01_03_nr8cent.mzML	230605_ED_dbgi_001162_01_03_nr8cent.mzML	dbgi_001162	sample	Clematis recta	Clematis	jbuf
230605_ED_dbgi_001175_01_03_nr8cent.mzML	230605_ED_dbgi_001175_01_03_nr8cent.mzML	dbgi_001175	sample	Clematis viticella	Clematis	jbuf
230605_ED_dbgi_001182_01_03_nr8cent.mzML	230605_ED_dbgi_001182_01_03_nr8cent.mzML	dbgi_001182	sample	Clematis alpina	Clematis	jbuf
230605_ED_dbgi_001185_01_03_nr8cent.mzML	230605_ED_dbgi_001185_01_03_nr8cent.mzML	dbgi_001185	sample	Clematis heracleifolia	Clematis	jbuf
230605_ED_Blank_ALC_nr8cent.mzML	230605_ED_Blank_ALC_nr8cent.mzML	BK00_dbgi	BK	BK	BK	NaN
