row ID,row m/z,row retention time,1685365277_ALC_dbgi_BK00_neg.mzML Peak area,
1,190.92785472488404,0.53513338,3.7120182626132405E8,
2,359.15294028522993,7.132760199999999,848997.5105592341,
3,308.8644229557366,0.53513338,1.3089508051570359E8,
4,221.1546429102908,7.5002516,4.6107478106102444E7,
5,552.7230824748623,0.53513338,9240191.218852349,
6,293.1770375950437,5.9750554,2.126661215128701E7,
7,334.8646527392346,0.53513338,2.683553135781103E7,
8,194.08167647427982,6.417048500000001,1.3625404733710388E7,
9,242.1761429285775,4.8543816,5337337.77735383,
10,297.15396505644617,7.4621976,2.447086598302368E7,
11,258.9158233871808,0.5659769,1.751645548495448E7,
12,404.846325517339,0.55588742,1.2840607901422728E7,
13,306.8690596296273,0.53513338,1.1965372362361612E7,
14,187.09658751295672,3.6193608999999998,4100143.3229632666,
15,622.7081389739953,0.53513338,8266968.136909493,
16,262.85811575012946,0.53513338,9626935.228558144,
17,326.83117795801877,0.58799761,9524809.889273807,
18,180.89809400518496,0.58799761,9504728.889035653,
19,406.79361179332113,0.53513338,5997851.508070202,
20,460.0844967621013,7.1286685,3589605.7969329166,
21,472.8350885624342,0.5659769,5699116.991722906,
22,387.1152948071694,0.61009118,6838451.715140824,
23,375.8446853411816,0.57699976,1.0792399951490825E7,
24,134.86365393943314,0.62124738,1.618078070908478E7,
25,207.91905769208063,0.61009118,4621450.218805052,
26,136.90802586414023,0.59989128,4733400.221604606,
27,265.14810341813586,7.3008924,2350758.678007849,
28,239.1285405902755,6.1959081,1584082.3109165952,
29,293.1766159638813,6.4360482,1288305.7547242034,
30,253.1443936596561,5.5825603,1299794.3330744815,
31,193.0859783588934,5.4357131,1354057.8427001182,
32,433.1356957813729,3.0186254,2429086.6542191114,
33,361.1656060448248,5.9750554,1268078.4997273344,
34,444.08849599786134,7.132760199999999,1210712.664214763,
35,173.08042891557344,3.0575436,1088102.0679164673,
36,228.16012833097136,4.3956827,714269.8877114544,
37,353.0886540625475,2.2749386,1337650.138309253,
38,309.17186493320816,6.2034166,874537.4909577668,
39,226.92210073405093,7.5002516,4776843.134704975,
40,171.06467122807678,3.2780088,1807701.5844043498,
41,236.1046935828895,5.9750554,589534.3519785895,
42,186.112127115825,2.8792491,560484.5769771084,
43,163.9273858665438,0.61009118,2053506.6210302464,
44,214.14446661648648,3.9133588,437465.14726409817,
45,213.11277209358946,3.9774813,749521.5896524321,
46,239.06689386219142,7.2354324,600552.135980749,
47,251.0921941126393,5.3787073,712364.7308238723,
48,227.12845280771162,5.3877343,578731.6968919165,
