row ID,row m/z,row retention time,1685365277_ALC_dbgi_BK00.mzML Peak area,
880,654.332140665533,9.3678203,1.3882156638240049E7,
637,432.23832629001726,6.5305414,1.4985092536327654E7,
616,415.21163287593333,6.5343518,9123035.145816932,
687,460.2694787901489,6.5343518,9334837.12154618,
319,256.17548175286925,2.053513,4868200.710721011,
911,682.36316099129,9.3678203,6572223.493865641,
400,284.2067860893221,2.053513,4074248.484965081,
653,437.1936309891406,6.5343518,5688028.050925445,
741,504.3611216307292,10.734417,6140486.672444994,
282,243.13563911849045,7.5151494,5030874.938448342,
867,637.3053416722321,9.3678203,2642482.374861436,
677,453.16741756138947,6.5343518,2797744.3582825297,
234,226.18019424016524,4.8584778,2435978.7949184324,
706,476.3299750081858,10.740784,3626049.9540700126,
855,628.1950927849921,10.37733,2306121.4341712478,
668,446.2538871899607,6.5265789,2340604.599886185,
1010,998.2897504879187,11.218733,7532265.10429409,
928,702.2148170838258,10.904564,1848548.0384135363,
835,584.4734162301713,9.5223214,7564480.596683659,
793,554.1761606339076,9.7212471,1941280.4053110892,
890,659.2872839983643,9.3615663,1611104.6806512722,
225,221.1536947211683,7.2123368,2382222.620991003,
792,553.3899710114201,11.655022,1963758.6591612545,
856,628.4997959158027,9.4971216,5644772.747069254,
844,600.468369335191,8.5789214,3302809.7758077895,
410,287.88877993668484,1.2325497,8356730.489985185,
531,354.3376797293148,10.772878,2606903.5956240203,
468,314.8494542653281,0.5729874,4036358.34764354,
393,283.1751707998523,2.2946156,1160296.025004965,
960,776.2328086043058,11.380072,1285578.3862722544,
459,309.22713453645423,3.9331629,2448036.753059304,
902,672.525938151376,9.4792113,3728340.984867524,
285,244.2635775380748,6.0762008,1069403.8826174713,
721,485.1129923256576,8.9454482,1120569.4180865427,
176,200.20098440712133,7.162881,1125220.6276808546,
563,376.3199738660882,10.772878,1870906.18479293,
686,459.3032787471211,10.740784,1319176.0283585682,
874,644.494473303328,8.5639007,2524314.459722162,
419,290.2689636911766,5.8801124,1033731.6602639206,
714,481.2851229910922,10.744824,1027772.0577840194,
705,476.30681689790606,2.9539486,569142.9263986561,
294,247.16655916749332,0.6663472,1980702.2114852162,
99,165.0911507305517,7.2123368,1358452.020951308,
527,352.3210732889245,8.9454482,2031064.268329992,
353,270.19115057452706,2.5356347,632857.945792171,
204,212.1495994228422,1.7502962,700750.9980459883,
213,216.19591977810737,4.5149821,720203.1294827368,
13,128.11852451231627,11.994534,3902565.797913993,
806,559.1314741232004,9.7212471,899734.2979460245,
524,350.3266206379035,9.1127575,3280466.408547682,
71,153.11362113107194,11.968316,6073563.527502665,
30,138.10278095005546,11.994534,4858743.940737316,
448,302.3053759690246,6.6216595,849774.2899271696,
248,230.2479281302192,5.8367064,818811.3612727777,
32,139.96341786359318,1.2325497,4897485.255427735,
454,304.89166989245496,1.2449829,7724814.837773207,
490,328.2329069296902,2.2946156,718506.356918275,
343,266.1727459023557,4.8584778,679135.4500476858,
923,688.5208737840862,8.5514049,1838492.1957511026,
100,165.11367544488004,11.994534,5744757.086171496,
830,582.2073404424144,9.7212471,775587.6809325129,
205,212.16457626978215,3.1330974,557611.5264018684,
185,203.05244372566045,0.59481221,1618783.6456710696,
693,463.13096680085187,8.9454482,765943.8875589133,
883,656.226275677546,10.37733,679525.7609934324,
373,276.89673507497645,1.2325497,5474162.095494797,
92,163.09796449810983,11.994534,4258059.781295349,
560,374.30329129956175,8.9454482,1481267.0128494652,
776,537.536254959176,10.65351,3582494.795767033,
905,675.677655266052,10.766746,614355.2210959836,
863,633.1499347559649,10.37733,615427.5410464403,
455,305.1570731698044,2.2989072,696044.8085819265,
416,289.24861154605327,4.8584778,620193.9048199052,
495,331.2090901010912,3.9402836,1381100.064955117,
267,238.18019007301854,7.2123368,961126.4438512147,
564,376.3189084628566,9.4686135,1165192.441192379,
768,531.4094355497114,11.655022,796867.6881377209,
941,716.5524043459483,9.4647072,2442310.0131940227,
569,380.3371591836099,8.6275295,3122928.311314707,
545,364.3419788594876,9.5787377,2989636.5929254564,
992,850.2517441513531,11.89472,691067.2742936045,
532,354.3366716599723,9.4751259,1004886.7444783488,
385,280.99528884832733,0.60631843,1308997.1304383702,
125,177.05474127453988,5.7948317,617372.0829188072,
611,411.09381245541715,8.0190752,633332.6544160232,
413,288.28965483625007,6.0555967,587007.2715568698,
807,559.5182157487429,10.698949,4019730.3472823715,
582,391.2843017578125,10.627937,986682.5525920249,
898,668.347352062331,9.3716599,553132.2592893707,
72,153.1138827369274,10.814432,1503269.7172790645,
107,168.0135498896888,0.75717578,2878368.5849864343,
27,138.10278095005546,11.994534,4858743.940737316,
301,250.11867021195332,6.3874257,594987.6010505868,
758,520.3330600366531,3.0747896,360361.02930510294,
573,384.295678800201,4.4759239,1020904.6892595559,
936,707.1680942594692,10.904564,464631.99745483196,
206,212.16455493308314,4.3989932,451808.2940743729,
949,732.5469516554659,8.5318988,1217379.5336174238,
105,165.11367544488004,11.994534,5744757.086171496,
247,230.17515672415112,4.3989932,457283.72786112846,
321,256.2635242486329,9.2103964,604356.1968040755,
549,366.3733635455397,11.350701,465114.9003573134,
710,480.15756679658017,8.9454482,527833.4551704585,
420,290.9120911518551,0.65620356,1283761.1655443737,
12,127.97956079864562,0.6483077,973489.7403961273,
515,342.26399266943037,4.2268505,342496.147718854,
349,268.1752982527906,2.6804358,344999.34568536025,
262,236.16193688181465,4.8834357,1103319.1335561057,
486,326.25369531367267,3.9331629,895584.9924383649,
101,165.11397073017386,10.814432,1158392.241796874,
326,259.109492922455,7.5151494,621508.9558295995,
